# ==================================================================================================================================================================================
# Minimum inception voltage(+)  = 26358.1,	 x = (0.00507812,-0.00195312)
# Minimum inception voltage(-)  = 26675.6,	 x = (0.0102286,-0.00138364)
# 
# Streamer inception voltage(+) = 26358.1,	 x = (0.00507812,-0.00195312)
# Streamer inception voltage(-) = 26675.6,	 x = (0.0102286,-0.00138364)
# 
# Townsend inception voltage(+) = 1.79769e+308,	 x = (0,0)
# Townsend inception voltage(-) = 1.79769e+308,	 x = (0,0)
# ==================================================================================================================================================================================
# +/- Voltage  Max K(+)       Max K(-)       Max T(+)            Max T(-)            Crit. vol(+)        Crit. vol(-)        Crit. area(+)       Crit. area(-)       Ionization vol.     
# ==================================================================================================================================================================================
10000          0              0              0                   0                   0                   0                   0                   0                   0.156471            
20000          0.633378       0.708335       0                   0                   0                   0                   0                   0                   0.156471            
30000          14.1551        13.1291        0                   0                   2.74658e-05         2.36888e-06         0                   0.00323718          0.156471            
40000          57.432         53.7701        0                   0                   0.000156844         3.90873e-05         0.0145685           0.00893973          0.156471            
50000          133.493        126.5          0                   0                   0.000248833         0.000120448         0.0240574           0.0120891           0.156471            
60000          239.375        228.016        0                   0                   0.000336127         0.000218153         0.0349733           0.0152141           0.156471            
70000          367.072        352.057        0                   0                   0.000424078         0.0003287           0.0416687           0.0199016           0.156471            
80000          511.139        494.001        0                   0                   0.000519409         0.000461219         0.0463602           0.0245891           0.156471            
90000          666.579        649.279        0                   0                   0.000625066         0.000611122         0.0510975           0.0284953           0.156471            
100000         827.692        812.931        0                   0                   0.000744273         0.000775062         0.0577446           0.0370891           0.156471            
110000         987.532        977.373        0                   0                   0.000908334         0.000941492         0.0610965           0.0511516           0.156471            
120000         1148.79        1141.38        0                   0                   0.00109554          0.00111031          0.0660334           0.0643806           0.156471            
130000         1311.05        1305.58        0                   0                   0.00131406          0.00129495          0.0702135           0.0768806           0.156471            
140000         1473.31        1469.93        0                   0                   0.00160865          0.00147874          0.0738633           0.0932869           0.156471            
150000         1635.58        1634.38        0                   0                   0.00188922          0.00170022          0.0783302           0.102662            0.156471            
# ==================================================================================================================================================================================
