# ==================================================================================================================================================================================
# Minimum inception voltage(+)  = 27265.6,	 x = (0.00800781,0.000195312)
# Minimum inception voltage(-)  = 24247.8,	 x = (0.00994502,-0.00020978)
# 
# Streamer inception voltage(+) = 27265.6,	 x = (0.00800781,0.000195312)
# Streamer inception voltage(-) = 28011.2,	 x = (0.00994502,-0.00020978)
# 
# Townsend inception voltage(+) = 38181.8,	 x = (0.00761719,-0.00253906)
# Townsend inception voltage(-) = 24247.8,	 x = (0.00994502,-0.00020978)
# ==================================================================================================================================================================================
# +/- Voltage  Max K(+)       Max K(-)       Max T(+)            Max T(-)            Crit. vol(+)        Crit. vol(-)        Crit. area(+)       Crit. area(-)       Ionization vol.     
# ==================================================================================================================================================================================
20000          1.78537        1.51861        0                   0.00356586          0                   0                   0                   0                   1.94369e-06         
23636.4        4.87163        4.175          0                   0.0640397           0                   0                   0                   0                   4.38447e-06         
27272.7        10.0197        8.63616        0                   5.63067             3.05176e-07         3.86581e-07         0                   0.00130876          8.96211e-06         
30909.1        17.6331        15.3522        0                   4649.08             8.23975e-06         1.33334e-06         0                   0.00201734          1.65476e-05         
34545.5        28.6141        24.7432        0                   5.56977e+07         1.80054e-05         2.8586e-06          0                   0.00211727          3.47581e-05         
38181.8        43.0184        37.3093        0                   1.59663e+13         3.40271e-05         6.77878e-06         0                   0.00292122          7.22184e-05         
41818.2        61.6424        53.9189        1.94522e+13         2.6102e+20          7.37e-05            1.49342e-05         0.00507812          0.00370247          0.000135049         
45454.5        84.3865        74.722         1.12337e+21         2.82731e+29         0.000103912         3.41925e-05         0.0105469           0.00662835          0.000186412         
49090.9        110.788        99.0643        4.2175e+35          1.05459e+40         0.000161255         6.72679e-05         0.0149534           0.011137            0.000225825         
52727.3        140.738        126.807        3.59593e+46         1.17935e+52         0.000219848         0.000104513         0.0185689           0.0129171           0.000272731         
56363.6        174.016        157.885        3.75045e+72         3.7028e+65          0.000266804         0.000143594         0.0221118           0.0137545           0.000311338         
60000          210.676        193.139        3.13037e+88         7.56888e+80         0.000310445         0.000181654         0.0248462           0.0153669           0.000355808         
# ==================================================================================================================================================================================
