# ==================================================================================================================================================================================
# Minimum inception voltage(+)  = 102460,	 x = (0.00976074,-0.00117597)
# Minimum inception voltage(-)  = 102212,	 x = (0.0102286,-0.00138364)
# 
# Streamer inception voltage(+) = 102460,	 x = (0.00976074,-0.00117597)
# Streamer inception voltage(-) = 102212,	 x = (0.0102286,-0.00138364)
# 
# Townsend inception voltage(+) = 1.79769e+308,	 x = (0,0)
# Townsend inception voltage(-) = 1.79769e+308,	 x = (0,0)
# ==================================================================================================================================================================================
# +/- Voltage  Max K(+)       Max K(-)       Max T(+)            Max T(-)            Crit. vol(+)        Crit. vol(-)        Crit. area(+)       Crit. area(-)       Ionization vol.     
# ==================================================================================================================================================================================
10000          0              0              0                   0                   0                   0                   0                   0                   0.156471            
20000          0              0              0                   0                   0                   0                   0                   0                   0.156471            
30000          0              0              0                   0                   0                   0                   0                   0                   0.156471            
40000          0              0              0                   0                   0                   0                   0                   0                   0.156471            
50000          0              0              0                   0                   0                   0                   0                   0                   0.156471            
60000          0              0              0                   0                   0                   0                   0                   0                   0.156471            
70000          0              0              0                   0                   0                   0                   0                   0                   0.156471            
80000          0              0              0                   0                   0                   0                   0                   0                   0.156471            
90000          0              0              0                   0                   0                   0                   0                   0                   0.156471            
100000         4.75           3.25           0                   0                   0                   0                   0                   0                   0.156471            
110000         22.0254        29.25          0                   0                   3.64614e-06         2.36888e-06         0.000505986         0.00323718          0.156471            
120000         76.0164        73.25          0                   0                   6.66587e-06         5.56171e-06         0.00396449          0.00512264          0.156471            
130000         145.247        135.023        0                   0                   1.2768e-05          8.67274e-06         0.00406786          0.00723393          0.156471            
140000         232.557        213.558        0                   0                   2.19729e-05         1.35802e-05         0.00845188          0.00772177          0.156471            
150000         341.633        306.718        0                   0                   2.92971e-05         2.19975e-05         0.00845188          0.00893973          0.156471            
# ==================================================================================================================================================================================
