# ==================================================================================================================================================================================
# Minimum inception voltage(+)  = 1.79769e+308,	 x = (0,0)
# Minimum inception voltage(-)  = 1.79769e+308,	 x = (0,0)
# 
# Streamer inception voltage(+) = 1.79769e+308,	 x = (0,0)
# Streamer inception voltage(-) = 1.79769e+308,	 x = (0,0)
# 
# Townsend inception voltage(+) = 1.79769e+308,	 x = (0,0)
# Townsend inception voltage(-) = 1.79769e+308,	 x = (0,0)
# ==================================================================================================================================================================================
# +/- Voltage  Max K(+)       Max K(-)       Max T(+)            Max T(-)            Crit. vol(+)        Crit. vol(-)        Crit. area(+)       Crit. area(-)       Ionization vol.     
# ==================================================================================================================================================================================
10000          0              0              0                   0                   0                   0                   0                   0                   1.48647             
20000          0              0              0                   0                   0                   0                   0                   0                   1.48647             
30000          0              0              0                   0                   0                   0                   0                   0                   1.48647             
40000          0              0              0                   0                   0                   0                   0                   0                   1.48647             
50000          0              0              0                   0                   0                   0                   0                   0                   1.48647             
60000          0              0              0                   0                   0                   0                   0                   0                   1.48647             
70000          0              0              0                   0                   0                   0                   0                   0                   1.48647             
80000          0              0              0                   0                   0                   0                   0                   0                   1.48647             
90000          0              0              0                   0                   0                   0                   0                   0                   1.48647             
100000         0              0              0                   0                   0                   0                   0                   0                   1.48647             
110000         0              0              0                   0                   0                   0                   0                   0                   1.48647             
120000         0              0              0                   0                   0                   0                   0                   0                   1.48647             
130000         0              0              0                   0                   0                   0                   0                   0                   1.48647             
140000         0              0              0                   0                   0                   0                   0                   0                   1.48647             
150000         0              0              0                   0                   0                   0                   0                   0                   1.48647             
# ==================================================================================================================================================================================
