# ==================================================================================================================================================================================
# Minimum inception voltage(+)  = 1.79769e+308,	 x = (0,0)
# Minimum inception voltage(-)  = 1.79769e+308,	 x = (0,0)
# 
# Streamer inception voltage(+) = 1.79769e+308,	 x = (0,0)
# Streamer inception voltage(-) = 1.79769e+308,	 x = (0,0)
# 
# Townsend inception voltage(+) = 1.79769e+308,	 x = (0,0)
# Townsend inception voltage(-) = 1.79769e+308,	 x = (0,0)
# ==================================================================================================================================================================================
# +/- Voltage  Max K(+)       Max K(-)       Max T(+)            Max T(-)            Crit. vol(+)        Crit. vol(-)        Crit. area(+)       Crit. area(-)       Ionization vol.     
# ==================================================================================================================================================================================
50000          0              0              0                   0                   0                   0                   0                   0                   0.986474            
64285.7        0              0              0                   0                   0                   0                   0                   0                   0.986474            
78571.4        0              0              0                   0                   0                   0                   0                   0                   0.986474            
92857.1        0              0              0                   0                   0                   0                   0                   0                   0.986474            
107143         0              0              0                   0                   0                   0                   0                   0                   0.986474            
121429         0              0              0                   0                   0                   0                   0                   0                   0.986474            
135714         0              0              0                   0                   0                   0                   0                   0                   0.986474            
150000         0              0              0                   0                   0                   0                   0                   0                   0.986474            
164286         0              0              0                   0                   0                   0                   0                   0                   0.986474            
178571         0              0              0                   0                   0                   0                   0                   0                   0.986474            
192857         0              0              0                   0                   0                   0                   0                   0                   0.986474            
207143         0              0              0                   0                   0                   0                   0                   0                   0.986474            
221429         0              0              0                   0                   0                   0                   0                   0                   0.986474            
235714         0              0              0                   0                   0                   0                   0                   0                   0.986474            
250000         0              0              0                   0                   0                   0                   0                   0                   0.986474            
# ==================================================================================================================================================================================
