# ==================================================================================================================================================================================
# Minimum inception voltage(+)  = 30632.1,	 x = (0.00566406,-0.000195312)
# Minimum inception voltage(-)  = 27283,	 x = (0.00988873,-0.000198397)
# 
# Streamer inception voltage(+) = 30632.1,	 x = (0.00566406,-0.000195312)
# Streamer inception voltage(-) = 30712,	 x = (0.00988873,-0.000198397)
# 
# Townsend inception voltage(+) = 34545.5,	 x = (0.00644531,-0.00292969)
# Townsend inception voltage(-) = 27283,	 x = (0.00988873,-0.000198397)
# ==================================================================================================================================================================================
# +/- Voltage  Max K(+)       Max K(-)       Max T(+)            Max T(-)            Crit. vol(+)        Crit. vol(-)        Crit. area(+)       Crit. area(-)       Ionization vol.     
# ==================================================================================================================================================================================
20000          0.342899       0.359165       0                   0.000432133         0                   0                   0                   0                   3.67768e-06         
23636.4        2.13788        2.08804        0                   0.00706909          0                   0                   0                   0                   1.10518e-05         
27272.7        6.11285        5.84782        0                   0.34548             0                   0                   0                   0                   2.28175e-05         
30909.1        12.9895        12.3525        0                   231.541             5.95093e-06         2.2976e-06          0                   0.00414463          4.00398e-05         
34545.5        23.5459        22.377         0                   5.22648e+06         3.92151e-05         8.08519e-06         0                   0.00627975          6.72171e-05         
38181.8        39.0206        37.1304        2.95108e+09         1.33515e+13         9.20105e-05         1.89864e-05         0.00625             0.0077336           0.000117577         
41818.2        59.2213        56.4881        2.0328e+17          3.40789e+21         0.000129547         3.71608e-05         0.0105469           0.00895306          0.000154357         
45454.5        83.7317        80.0166        6.04886e+27         5.63324e+31         0.00016188          6.32331e-05         0.0149591           0.0105423           0.000187798         
49090.9        112.523        107.765        7.37913e+45         6.33292e+43         0.000194228         9.3157e-05          0.0181358           0.0113239           0.000223119         
52727.3        145.418        139.5          1.4267e+60          3.83778e+57         0.000225607         0.000123229         0.0220325           0.0121051           0.000258655         
56363.6        182.131        175.011        1.25482e+76         1.01482e+73         0.000253187         0.000153911         0.0247799           0.0128864           0.00029297          
60000          222.81         214.5          5.8207e+93          1.43274e+90         0.000284468         0.00018673          0.0286861           0.0136676           0.00033008          
# ==================================================================================================================================================================================
